epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1513,1.67058,2.60616,1.73543,0.00038,0.15537,0.00028,7e-05,3.96863,inf,41.8599,0.0704225,0.00328638,0.00328638
2,29.1149,1.7426,1.95035,1.76095,0.01721,0.16166,0.00974,0.00259,3.40265,168.25,9.20911,0.0404211,0.00661825,0.00661825
3,42.2911,1.65758,1.74603,1.6946,0.12333,0.35807,0.1742,0.09648,2.05049,18.2526,2.71089,0.0104137,0.00994421,0.00994421
4,55.0078,1.53106,1.60039,1.60011,0.553,0.33437,0.36111,0.20583,1.80953,6.07863,2.066,0.00998003,0.00998003,0.00998003
5,68.1982,1.45783,1.40845,1.52541,0.59445,0.49073,0.50275,0.28217,1.69371,3.05076,1.81288,0.00996452,0.00996452,0.00996452
6,81.0566,1.3706,1.34077,1.45937,0.64719,0.46561,0.54606,0.3504,1.49329,1.91966,1.67154,0.0099446,0.0099446,0.0099446
7,93.9539,1.29863,1.234,1.40498,0.57799,0.37759,0.43195,0.27053,1.62517,2.74375,1.76017,0.00992029,0.00992029,0.00992029
8,106.692,1.25454,1.17181,1.38138,0.68892,0.64828,0.69523,0.46097,1.30142,1.29605,1.44911,0.00989163,0.00989163,0.00989163
9,119.715,1.2371,1.13888,1.35632,0.64925,0.61919,0.67997,0.42764,1.36647,1.86413,1.49234,0.00985862,0.00985862,0.00985862
10,133.561,1.18707,1.03379,1.32512,0.81429,0.73752,0.79328,0.54551,1.15045,1.08364,1.31074,0.00982132,0.00982132,0.00982132
11,146.41,1.1586,1.01396,1.30297,0.75989,0.69271,0.7516,0.50868,1.18501,1.15053,1.33212,0.00977975,0.00977975,0.00977975
12,159.375,1.13791,0.96502,1.28387,0.82547,0.74268,0.81761,0.57703,1.05445,0.88894,1.25462,0.00973396,0.00973396,0.00973396
13,172.167,1.09217,0.93532,1.24545,0.71293,0.7799,0.8217,0.57121,1.05095,1.06639,1.24919,0.00968399,0.00968399,0.00968399
14,185.386,1.06797,0.92499,1.24035,0.75097,0.68635,0.73823,0.51267,1.20042,1.2482,1.32562,0.0096299,0.0096299,0.0096299
15,198.179,1.05794,0.88057,1.22874,0.78396,0.73572,0.77613,0.53765,1.08732,1.05477,1.26281,0.00957172,0.00957172,0.00957172
16,210.809,1.02907,0.85943,1.2045,0.83581,0.71135,0.80021,0.57342,1.04865,0.98189,1.25544,0.00950953,0.00950953,0.00950953
17,224.004,1.03325,0.85304,1.20434,0.80479,0.61003,0.70057,0.48641,1.21746,1.41116,1.40322,0.00944338,0.00944338,0.00944338
