epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,417.628,1.93372,2.75017,2.09393,0.31692,0.1526,0.03178,0.00928,2.49411,11.731,3.17234,0.0700822,0.0033242,0.0033242
2,813.98,1.91827,2.58351,2.11067,0.33757,0.30039,0.22998,0.09239,2.11258,2.80387,2.45611,0.040072,0.00664738,0.00664738
3,1208.36,1.78008,2.27548,1.98145,0.43944,0.34779,0.36274,0.1594,1.86379,2.66114,2.24882,0.0100213,0.00992998,0.00992998
4,1600.97,1.7231,2.12259,1.91077,0.676,0.38738,0.45743,0.2244,1.73378,2.03399,2.11377,0.00986323,0.00986323,0.00986323
5,1996.23,1.66524,1.93854,1.83439,0.56182,0.5381,0.56522,0.27145,1.60295,1.74628,1.93738,0.00975773,0.00975773,0.00975773
6,2390.65,1.60694,1.84287,1.79275,0.68228,0.5517,0.61992,0.31342,1.60714,1.61409,1.88746,0.0096232,0.0096232,0.0096232
7,2788.33,1.57531,1.76692,1.75697,0.67026,0.55253,0.61933,0.32178,1.57153,1.59044,1.88934,0.00946048,0.00946048,0.00946048
8,3185.82,1.54516,1.70044,1.7388,0.74914,0.64058,0.71951,0.37037,1.50041,1.36624,1.78501,0.00927057,0.00927057,0.00927057
9,3582.64,1.51359,1.64866,1.70836,0.76532,0.66067,0.74511,0.40074,1.47764,1.30855,1.76231,0.00905463,0.00905463,0.00905463
10,3978.51,1.48006,1.55543,1.67504,0.71698,0.64773,0.71929,0.38062,1.52613,1.49542,1.82526,0.00881401,0.00881401,0.00881401
11,4374.56,1.44569,1.53083,1.6393,0.80384,0.69699,0.78532,0.45627,1.35644,1.18329,1.62126,0.00855018,0.00855018,0.00855018
12,4770.97,1.40163,1.44993,1.6117,0.79162,0.7002,0.7865,0.44002,1.42286,1.24833,1.66459,0.00826477,0.00826477,0.00826477
13,5167.73,1.40535,1.41856,1.59854,0.79289,0.74969,0.80004,0.46854,1.31406,1.16307,1.58978,0.00795954,0.00795954,0.00795954
14,5564.39,1.38749,1.39517,1.59108,0.8361,0.78704,0.84977,0.50657,1.2953,1.02316,1.5824,0.00763637,0.00763637,0.00763637
15,5960.64,1.35512,1.36433,1.56046,0.80412,0.75703,0.79555,0.45187,1.3321,1.11411,1.63009,0.00729725,0.00729725,0.00729725
16,6356.51,1.32488,1.28043,1.54332,0.84722,0.78091,0.85267,0.49062,1.38036,1.02512,1.65559,0.00694428,0.00694428,0.00694428
17,6752.01,1.31357,1.28261,1.53554,0.83701,0.78479,0.85431,0.52866,1.25018,1.01873,1.52447,0.00657963,0.00657963,0.00657963
